data_month,cty_code,cty_name,chapter,rate,rate_dutiable,duty_free_share,con_val,cal_dut,dut_val
2010-04,5520,VIETNAM,55,0.068167,0.068167,0.0,2887233,196814,2887233
2010-04,5520,VIETNAM,56,0.056681,0.060805,0.067828,702952,39844,655272
2010-04,5520,VIETNAM,57,0.0,,1.0,9598,0,0
2010-04,5520,VIETNAM,58,0.067622,0.067622,0.0,109536,7407,109536
2010-04,5520,VIETNAM,59,0.057033,0.057033,0.0,12657733,721912,12657733
2010-04,5520,VIETNAM,60,0.101909,0.101909,0.0,394538,40207,394538
2010-04,5520,VIETNAM,61,0.184436,0.184447,6.4e-05,233511503,43067821,233496639
2010-04,5520,VIETNAM,62,0.164675,0.164752,0.000472,169927459,27982746,169847300
2010-04,5520,VIETNAM,63,0.076543,0.080601,0.050346,6253035,478629,5938221
2010-04,5520,VIETNAM,64,0.123503,0.123912,0.003303,123319507,15230320,122912134
2010-04,5520,VIETNAM,65,0.073354,0.076084,0.035877,7650728,561213,7376241
2010-04,5520,VIETNAM,66,0.058921,0.058921,0.0,155073,9137,155073
2010-04,5520,VIETNAM,67,0.0,,1.0,159843,0,0
2010-04,5520,VIETNAM,68,0.00968,0.050446,0.80812,729371,7060,139952
2010-04,5520,VIETNAM,69,0.059522,0.061296,0.028938,3717311,221263,3609740
2010-04,5520,VIETNAM,70,0.054577,0.054577,0.0,3106378,169538,3106378
2010-04,5520,VIETNAM,71,0.028797,0.059029,0.512161,3919264,112862,1911968
2010-04,5520,VIETNAM,72,0.0,,1.0,702445,0,0
2010-04,5520,VIETNAM,73,0.020026,0.03939,0.491599,9764091,195537,4964078
2010-04,5520,VIETNAM,74,0.022751,0.030003,0.24172,212829,4842,161384
2010-04,5520,VIETNAM,76,0.030442,0.032165,0.053567,432694,13172,409516
2010-04,5520,VIETNAM,80,0.000685,0.020983,0.96737,346150,237,11295
2010-04,5520,VIETNAM,81,0.117417,0.14,0.16131,1576095,185060,1321855
2010-04,5520,VIETNAM,82,0.046436,0.071438,0.349981,3621815,168184,2354250
