data_month,series_id,rate,rate_dutiable,duty_free_share,con_val,cal_dut,dut_val,vintage_date,vintage_note
2010-05,ETRX-MX-87,0.000781,0.024471,0.96807,3248365981,2538192,103720425,2026-08-24,backfill
2010-05,ETRX-PHARMA,0.0,0.049969,0.999996,5118139369,1063,21273,2026-08-24,backfill
2010-05,ETRX-STEEL,0.005567,0.038339,0.854789,4473322233,24904238,649573886,2026-08-24,backfill
2010-05,ETRX-TW,0.016206,0.048655,0.666913,2778337778,45027045,925427081,2026-09-03,backfill
2010-05,ETRX-US,0.0131,0.044079,0.702813,151893455606,1989770371,45140772688,2026-08-24,backfill
2010-05,ETRX-US-INCL,0.012808,0.043218,0.70364,155883583323,1996554753,46197610752,2026-08-24,backfill
2010-05,ETRX-VN,0.08654,0.139571,0.37996,1140900287,98733062,707404292,2026-09-03,backfill
2010-06,ETRX-APPAREL,0.128001,0.160896,0.204449,6269885218,802552790,4988014750,2026-08-24,backfill
2010-06,ETRX-CA,0.000495,0.010785,0.9541,23553253555,11659252,1081098944,2026-09-03,backfill
2010-06,ETRX-CA-44,0.005741,0.097695,0.941238,538200013,3089696,31625871,2026-08-24,backfill
2010-06,ETRX-CA-76,9.8e-05,0.032891,0.997035,616970871,60172,1829433,2026-08-24,backfill
2010-06,ETRX-CA-87,0.00028,0.026885,0.989575,4490618983,1258671,46816177,2026-08-24,backfill
2010-06,ETRX-CN,0.033125,0.076654,0.56786,32291423754,1069663951,13954416541,2026-09-03,backfill
2010-06,ETRX-CN-84,0.003046,0.032172,0.905312,8052959467,24532043,762517909,2026-08-24,backfill
2010-06,ETRX-CN-85,0.011122,0.03489,0.681212,7899676093,87864058,2518324982,2026-08-24,backfill
2010-06,ETRX-CN-95,0.007327,0.046698,0.843098,1523436657,11162234,239030847,2026-08-24,backfill
2010-06,ETRX-EU,0.01182,0.031493,0.624673,25889698519,306019193,9717102314,2026-09-03,backfill
2010-06,ETRX-EU-87,0.022986,0.025025,0.081497,2796287861,64275382,2568400088,2026-08-24,backfill
2010-06,ETRX-IN,0.02725,0.070828,0.615267,2532064693,68998590,974169510,2026-09-03,backfill
2010-06,ETRX-JP,0.017641,0.029479,0.401554,9924220624,175077252,5939112664,2026-09-03,backfill
2010-06,ETRX-KR,0.014882,0.032103,0.536438,4171157434,62074052,1933588964,2026-09-03,backfill
2010-06,ETRX-MX,0.000878,0.033102,0.973462,19316192333,16968505,512615048,2026-09-03,backfill
2010-06,ETRX-MX-87,0.000618,0.024532,0.974817,3456391508,2135296,87042373,2026-08-24,backfill
2010-06,ETRX-PHARMA,1e-06,0.0495,0.999988,6000041933,3530,71313,2026-08-24,backfill
2010-06,ETRX-STEEL,0.006118,0.039839,0.846444,4258461669,26051524,653913595,2026-08-24,backfill
2010-06,ETRX-TW,0.015772,0.048426,0.674307,3209824491,50625149,1045416644,2026-09-03,backfill
2010-06,ETRX-US,0.014165,0.047315,0.700636,161259154773,2284160078,48275190573,2026-08-24,backfill
2010-06,ETRX-US-INCL,0.013793,0.046191,0.701401,165989296974,2289420954,49564169733,2026-08-24,backfill
2010-06,ETRX-VN,0.091633,0.140253,0.346664,1234613068,113130696,806617353,2026-09-03,backfill
2010-07,ETRX-APPAREL,0.129615,0.161213,0.196002,6963677419,902596606,5598783955,2026-08-24,backfill
2010-07,ETRX-CA,0.000473,0.007114,0.933503,20519057891,9706885,1364464601,2026-09-03,backfill
2010-07,ETRX-CA-44,0.005372,0.098778,0.945614,425763322,2287242,23155382,2026-08-24,backfill
2010-07,ETRX-CA-76,0.000134,0.037099,0.996384,535449610,71828,1936105,2026-08-24,backfill
2010-07,ETRX-CA-87,0.0003,0.027282,0.989014,2751276458,824575,30224479,2026-08-24,backfill
2010-07,ETRX-CN,0.036342,0.080164,0.546657,32783765160,1191423132,14862300174,2026-09-03,backfill
2010-07,ETRX-CN-84,0.003179,0.03214,0.901083,7521299190,23911694,743987031,2026-08-24,backfill
2010-07,ETRX-CN-85,0.011884,0.034876,0.659265,7731939838,91882648,2634540320,2026-08-24,backfill
